"rk","tm","year","date","time","ltime","","opp","week","g","day","result","ot","tot","ply","ypp","dply","dypp","to","top","time"
"243","NOR","2000","2000-10-29","4:05","2:05","@","ARI","9","8","Sun","W 21-10","","247","57","4.3333","77","5.1169","1","26:41","3:02"
"244","NYG","2000","2000-10-29","4:07","4:07","","PHI","9","8","Sun","W 24-7","","384","84","4.5714","46","4.1739","","43:41","3:08"
"245","NYJ","2000","2000-10-29","1:01","1:01","@","BUF","9","8","Sun","L 20-23","","337","59","5.7119","65","5.2000","4","29:37","3:03"
"246","PHI","2000","2000-10-29","4:07","4:07","@","NYG","9","9","Sun","L 7-24","","192","46","4.1739","84","4.5714","1","16:19","3:08"
"247","PIT","2000","2000-10-29","1:02","1:02","@","BAL","9","8","Sun","W 9-6","","231","57","4.0526","55","4.9818","1","31:58","2:47"
"248","OAK","2000","2000-10-29","8:35","5:35","@","SDG","9","8","Sun","W 15-13","","228","64","3.5625","58","3.8621","1","31:44","3:08"
"249","STL","2000","2000-10-29","4:05","1:05","@","SFO","9","8","Sun","W 34-24","","447","71","6.2958","64","5.0781","1","34:01","3:24"
"250","BAL","2000","2000-10-29","1:02","1:02","","PIT","9","9","Sun","L 6-9","","274","55","4.9818","57","4.0526","3","28:02","2:47"
"251","SDG","2000","2000-10-29","8:35","5:35","","OAK","9","8","Sun","L 13-15","","224","58","3.8621","64","3.5625","2","28:16","3:08"
"252","SEA","2000","2000-10-29","4:16","1:16","","KAN","9","9","Sun","L 19-24","","351","70","5.0143","62","6.6129","4","29:20","3:10"
"253","SFO","2000","2000-10-29","4:05","1:05","","STL","9","9","Sun","L 24-34","","325","64","5.0781","71","6.2958","","25:59","3:24"
"254","TAM","2000","2000-10-29","1:01","1:01","","MIN","9","8","Sun","W 41-13","","413","49","8.4286","72","5.5694","","27:47","3:00"
"255","TEN","2000","2000-10-30","9:01","9:01","@","WAS","9","8","Mon","W 27-21","","189","46","4.1087","67","3.9701","","29:19","3:10"
"256","WAS","2000","2000-10-30","9:01","9:01","","TEN","9","9","Mon","L 21-27","","266","67","3.9701","46","4.1087","3","30:41","3:10"
"257","ATL","2000","2000-11-05","1:02","1:02","","TAM","10","10","Sun","L 14-27","","283","69","4.1014","64","4.1719","4","29:45","3:09"
"258","BUF","2000","2000-11-05","1:02","1:02","@","NWE","10","9","Sun","W 16-13","OT","315","69","4.5652","64","2.9531","1","31:54","3:20"
"259","CAR","2000","2000-11-05","8:35","7:35","@","STL","10","9","Sun","W 27-24","","268","54","4.9630","63","6.7619","2","28:35","3:05"
"260","CHI","2000","2000-11-05","1:02","12:02","","IND","10","9","Sun","W 27-24","","370","71","5.2113","61","6.0820","","35:23","3:06"
"261","CIN","2000","2000-11-05","1:03","1:03","","BAL","10","9","Sun","L 7-27","","174","56","3.1071","66","5.7273","1","26:47","2:54"
"262","CLE","2000","2000-11-05","1:03","1:03","","NYG","10","10","Sun","L 3-24","","193","49","3.9388","77","4.8052","1","23:20","2:53"
"263","IND","2000","2000-11-05","1:02","12:02","@","CHI","10","9","Sun","L 24-27","","371","61","6.0820","71","5.2113","2","24:37","3:06"
"264","ARI","2000","2000-11-05","4:05","2:05","","WAS","10","9","Sun","W 16-15","","178","44","4.0455","78","5.4103","2","22:34","3:07"
"265","DAL","2000","2000-11-05","1:03","1:03","@","PHI","10","9","Sun","L 13-16","OT","295","71","4.1549","73","4.8904","2","34:50","3:26"
"266","DEN","2000","2000-11-05","4:15","4:15","@","NYJ","10","9","Sun","W 30-23","","447","75","5.9600","59","6.4576","1","36:47","3:05"
"267","DET","2000","2000-11-05","1:01","1:01","","MIA","10","9","Sun","L 8-23","","253","53","4.7736","56","5.2321","3","26:15","2:48"
"268","KAN","2000","2000-11-05","1:15","1:15","@","OAK","10","9","Sun","L 31-49","","513","66","7.7727","73","6.4795","3","21:31","3:18"
"269","MIA","2000","2000-11-05","1:01","1:01","@","DET","10","9","Sun","W 23-8","","293","56","5.2321","53","4.7736","","33:45","2:48"
"270","NOR","2000","2000-11-05","1:02","12:02","","SFO","10","9","Sun","W 31-15","","360","69","5.2174","56","6.1786","","36:50","3:21"
"271","NWE","2000","2000-11-05","1:02","1:02","","BUF","10","9","Sun","L 13-16","OT","189","64","2.9531","69","4.5652","2","32:38","3:20"
"272","NYG","2000","2000-11-05","1:03","1:03","@","CLE","10","9","Sun","W 24-3","","370","77","4.8052","49","3.9388","1","36:40","2:53"
"273","NYJ","2000","2000-11-05","4:15","4:15","","DEN","10","9","Sun","L 23-30","","381","59","6.4576","75","5.9600","3","23:13","3:05"
"274","TEN","2000","2000-11-05","1:03","12:03","","PIT","10","9","Sun","W 9-7","","364","72","5.0556","44","3.7955","1","39:30","3:06"
"275","PHI","2000","2000-11-05","1:03","1:03","","DAL","10","10","Sun","W 16-13","OT","357","73","4.8904","71","4.1549","2","33:05","3:26"
"276","PIT","2000","2000-11-05","1:03","12:03","@","TEN","10","9","Sun","L 7-9","","167","44","3.7955","72","5.0556","3","20:30","3:06"
"277","OAK","2000","2000-11-05","1:15","1:15","","KAN","10","9","Sun","W 49-31","","473","73","6.4795","66","7.7727","","38:29","3:18"
"278","STL","2000","2000-11-05","8:35","7:35","","CAR","10","9","Sun","L 24-27","","426","63","6.7619","54","4.9630","2","31:25","3:05"
"279","BAL","2000","2000-11-05","1:03","1:03","@","CIN","10","10","Sun","W 27-7","","378","66","5.7273","56","3.1071","","33:13","2:54"
"280","SDG","2000","2000-11-05","4:15","1:15","@","SEA","10","9","Sun","L 15-17","","398","71","5.6056","45","2.8444","3","39:51","2:57"
"281","SEA","2000","2000-11-05","4:15","1:15","","SDG","10","10","Sun","W 17-15","","128","45","2.8444","71","5.6056","1","20:09","2:57"
"282","SFO","2000","2000-11-05","1:02","12:02","@","NOR","10","10","Sun","L 15-31","","346","56","6.1786","69","5.2174","2","23:10","3:21"
"283","TAM","2000","2000-11-05","1:02","1:02","@","ATL","10","9","Sun","W 27-14","","267","64","4.1719","69","4.1014","2","30:15","3:09"
"284","WAS","2000","2000-11-05","4:05","2:05","@","ARI","10","10","Sun","L 15-16","","422","78","5.4103","44","4.0455","3","37:26","3:07"
"285","GNB","2000","2000-11-06","9:09","8:09","","MIN","10","9","Mon","W 26-20","OT","298","64","4.6563","71","5.7324","","27:46","3:31"
"286","MIN","2000","2000-11-06","9:09","8:09","@","GNB","10","9","Mon","L 20-26","OT","407","71","5.7324","64","4.6563","5","35:53","3:31"
"287","ATL","2000","2000-11-12","1:01","1:01","@","DET","11","11","Sun","L 10-13","","218","66","3.3030","62","3.5806","2","30:32","3:17"
"288","BUF","2000","2000-11-12","1:02","1:02","","CHI","11","10","Sun","W 20-3","","299","65","4.6000","60","3.9000","1","35:16","2:58"
"289","CAR","2000","2000-11-12","1:02","1:02","","NOR","11","10","Sun","L 10-20","","311","67","4.6418","56","5.7500","5","31:23","3:00"
"290","CHI","2000","2000-11-12","1:02","1:02","@","BUF","11","10","Sun","L 3-20","","234","60","3.9000","65","4.6000","4","24:44","2:58"
"291","CIN","2000","2000-11-12","1:00","12:00","@","DAL","11","10","Sun","L 6-23","","195","60","3.2500","69","5.8696","2","24:35","3:12"
"292","CLE","2000","2000-11-12","1:03","1:03","","NWE","11","11","Sun","W 19-11","","272","73","3.7260","61","4.6885","","34:24","2:57"
"293","IND","2000","2000-11-12","8:35","8:35","","NYJ","11","10","Sun","W 23-15","","358","73","4.9041","60","6.1167","1","33:59","2:54"
"294","ARI","2000","2000-11-12","1:00","12:00","@","MIN","11","10","Sun","L 14-31","","249","48","5.1875","68","6.7647","2","25:52","2:55"
"295","DAL","2000","2000-11-12","1:00","12:00","","CIN","11","10","Sun","W 23-6","","405","69","5.8696","60","3.2500","1","35:25","3:12"
"296","DET","2000","2000-11-12","1:01","1:01","","ATL","11","10","Sun","W 13-10","","222","62","3.5806","66","3.3030","1","29:28","3:17"
"297","GNB","2000","2000-11-12","4:15","4:15","@","TAM","11","10","Sun","L 15-20","","302","63","4.7937","57","4.7719","1","27:57","3:06"
"298","JAX","2000","2000-11-12","1:02","1:02","","SEA","11","10","Sun","L 21-28","","437","64","6.8281","66","4.9394","1","30:48","2:57"
"299","KAN","2000","2000-11-12","4:00","1:00","@","SFO","11","10","Sun","L 7-21","","294","58","5.0690","63","6.1746","1","23:50","2:57"
"300","MIA","2000","2000-11-12","4:05","1:05","@","SDG","11","10","Sun","W 17-7","","244","61","4.0000","66","3.6061","","32:46","3:10"
"301","MIN","2000","2000-11-12","1:00","12:00","","ARI","11","10","Sun","W 31-14","","460","68","6.7647","48","5.1875","2","34:08","2:55"
"302","NOR","2000","2000-11-12","1:02","1:02","@","CAR","11","10","Sun","W 20-10","","322","56","5.7500","67","4.6418","2","28:37","3:00"
"303","NWE","2000","2000-11-12","1:03","1:03","@","CLE","11","10","Sun","L 11-19","","286","61","4.6885","73","3.7260","4","25:36","2:57"
"304","NYG","2000","2000-11-12","4:15","4:15","","STL","11","10","Sun","L 24-38","","348","56","6.2143","75","5.2933","3","23:20","3:12"
"305","NYJ","2000","2000-11-12","8:35","8:35","@","IND","11","10","Sun","L 15-23","","367","60","6.1167","73","4.9041","2","26:01","2:54"
"306","TEN","2000","2000-11-12","1:03","12:03","","BAL","11","10","Sun","L 23-24","","286","51","5.6078","70","5.1571","2","25:46","3:23"
"307","PHI","2000","2000-11-12","1:01","1:01","@","PIT","11","11","Sun","W 26-23","OT","290","80","3.6250","71","4.5352","1","31:10","3:36"
"308","PIT","2000","2000-11-12","1:01","1:01","","PHI","11","10","Sun","L 23-26","OT","322","71","4.5352","80","3.6250","1","33:06","3:36"
"309","STL","2000","2000-11-12","4:15","4:15","@","NYG","11","10","Sun","W 38-24","","397","75","5.2933","56","6.2143","1","36:40","3:12"
"310","BAL","2000","2000-11-12","1:03","12:03","@","TEN","11","11","Sun","W 24-23","","361","70","5.1571","51","5.6078","1","34:14","3:23"
"311","SDG","2000","2000-11-12","4:05","1:05","","MIA","11","10","Sun","L 7-17","","238","66","3.6061","61","4.0000","4","27:14","3:10"
"312","SEA","2000","2000-11-12","1:02","1:02","@","JAX","11","11","Sun","W 28-21","","326","66","4.9394","64","6.8281","","29:12","2:57"
"313","SFO","2000","2000-11-12","4:00","1:00","","KAN","11","11","Sun","W 21-7","","389","63","6.1746","58","5.0690","","36:10","2:57"
"314","TAM","2000","2000-11-12","4:15","4:15","","GNB","11","10","Sun","W 20-15","","272","57","4.7719","63","4.7937","1","32:03","3:06"
"315","DEN","2000","2000-11-13","9:09","7:09","","OAK","11","10","Mon","W 27-24","","329","63","5.2222","75","5.4800","2","29:52","3:19"
"316","OAK","2000","2000-11-13","9:09","7:09","@","DEN","11","10","Mon","L 24-27","","411","75","5.4800","63","5.2222","3","30:08","3:19"
"317","ATL","2000","2000-11-19","4:16","1:16","@","SFO","12","12","Sun","L 6-16","","211","57","3.7018","63","5.3492","1","27:35","3:06"
"318","BUF","2000","2000-11-19","1:00","12:00","@","KAN","12","11","Sun","W 21-17","","299","67","4.4627","72","5.2500","","31:20","3:19"
"319","CAR","2000","2000-11-19","1:00","12:00","@","MIN","12","11","Sun","L 17-31","","330","75","4.4000","56","7.9643","3","33:09","3:13"
"320","CHI","2000","2000-11-19","1:04","12:04","","TAM","12","11","Sun","W 13-10","","243","63","3.8571","56","4.0179","1","30:08","2:51"
"321","CIN","2000","2000-11-19","1:02","1:02","@","NWE","12","11","Sun","L 13-16","","365","76","4.8026","59","4.9322","2","32:28","3:05"
"322","CLE","2000","2000-11-19","1:03","12:03","@","TEN","12","12","Sun","L 10-24","","125","42","2.9762","75","4.9867","1","21:41","2:52"
"323","IND","2000","2000-11-19","1:02","12:02","@","GNB","12","11","Sun","L 24-26","","338","65","5.2000","67","6.4478","2","25:51","3:18"
"324","ARI","2000","2000-11-19","1:02","1:02","@","PHI","12","11","Sun","L 9-34","","210","53","3.9623","68","4.9706","1","25:11","3:15"
"325","DAL","2000","2000-11-19","4:15","4:15","@","BAL","12","11","Sun","L 0-27","","192","48","4.0000","70","6.8429","3","21:38","2:48"
"326","DEN","2000","2000-11-19","4:05","2:05","","SDG","12","11","Sun","W 38-37","","536","83","6.4578","57","6.7544","5","33:26","3:34"
"327","DET","2000","2000-11-19","1:03","1:03","@","NYG","12","11","Sun","W 31-21","","314","68","4.6176","70","5.3286","2","33:53","3:11"
"328","GNB","2000","2000-11-19","1:02","12:02","","IND","12","11","Sun","W 26-24","","432","67","6.4478","65","5.2000","1","34:09","3:18"
"329","JAX","2000","2000-11-19","8:35","8:35","@","PIT","12","11","Sun","W 34-24","","417","70","5.9571","56","5.3929","2","34:20","3:11"
"330","KAN","2000","2000-11-19","1:00","12:00","","BUF","12","11","Sun","L 17-21","","378","72","5.2500","67","4.4627","2","28:40","3:19"
"331","MIA","2000","2000-11-19","4:05","4:05","","NYJ","12","11","Sun","L 3-20","","200","54","3.7037","63","3.7937","4","28:02","2:59"
"332","MIN","2000","2000-11-19","1:00","12:00","","CAR","12","11","Sun","W 31-17","","446","56","7.9643","75","4.4000","2","26:51","3:13"
